sample,type,Pseudomonas,Serratia,Achromobacter,Chryseobacterium,Acinetobacter,Psychrobacter,Stenotrophomonas,Sphingopyxis,Rhodococcus,Brevundimonas,Ensifer,Nakamurella,Elizabethkingia,Delftia,Klebsiella,Citrobacter,Microbacterium,Pandoraea,Corynebacterium,Raoultella,Comamonas,Tessaracoccus,Acidovorax,Staphylococcus,Methylorubrum,Leucobacter,Afipia,Aerococcus
01_16S,16S-amplicon,9.809933528,31.24371133,0.053478478,1.951370237,0.816041959,0.010695696,4.24539887,0.091903755,1.76360136,0.003169095,0,2.206878521,0.698389307,0.611635332,0,0.015053201,2.009602358,5.366862358,0,0.005545916,0.987569225,0,0.064174173,0.000792274,0.032087087,0.011884106,0.72334593,0.004753642
01_sh,shotgun,1.45139,66.18763,0,2.52724,0,0,0.57257,0,4.80816,0,0,6.06319,0.73602,0.39256,0,0,2.66987,6.81884,0,0,0.28126,0,0,0,0,0,3.11802,0
02_16S,16S-amplicon,21.10820639,0.197650587,0.317896141,2.135210527,2.516880626,0.045274642,1.166917381,0.589057168,0.329579919,0.068642199,0.007789186,0.125113795,0.004381417,0.281384333,0.663054432,2.213102384,0.290633991,0.000973648,1.128458277,0.009249658,0.659159839,0.179151271,1.697068832,0.190835049,0.019472964,1.419092268,0.120732378,0.144099935
02_sh,shotgun,34.03865,0.68241,0,13.11139,6.20182,0,0.4311,0.42492,1.94358,0,0,1.16055,0,0.74386,6.72267,7.98931,0.02547,0,6.20704,0,0,2.50203,1.04681,0.05946,0,0.52365,0,1.01729
03_16S,16S-amplicon,70.1122559,5.068618102,2.988307973,0.044052407,0.177764418,0.008810481,0.140449438,0.013474854,0.066337742,0.003627845,0.004146109,0.035760189,0.002073054,0.002073054,0.721422945,6.476740329,0.045088934,0,0.041979352,0.003109582,1.519548903,0.017102699,0.021248808,0.027986235,0.003109582,0.162734773,0.004664372,0.011920063
03_sh,shotgun,90.68331,5.88715,0.08591,0.00488,0.05897,0,0,0,0,0,0,0,0,0,1.20857,0,0,0,0,0,0,0,0,0,0,0,0,0
05_16S,16S-amplicon,79.02395043,1.059880871,3.056869083,2.35427837,0.063784686,0.025417958,2.704374766,0.035489224,0.061386765,0,0,0,0.044121738,0.312688836,0.012948771,0.00815293,0.032611719,0,0,0.063784686,0.0724172,0.009112098,0.379351027,0.024458789,0.315566341,0.019183364,0.005275425,0.002877505
05_sh,shotgun,94.60836,0.2864,2.92275,1.01276,0,0,0,0,0,0,0,0,0,0.05108,0,0,0,0,0,0.06154,0,0,0,0,0.09815,0,0,0
09_16S,16S-amplicon,18.49400207,0.527159181,0.12055771,2.279863618,5.573110888,12.35055087,3.096061781,0.504944613,0.269070832,2.906114747,0,0.0264578,0.001747213,2.237431297,0.276309287,0.053664405,0.314248773,0,0.0396867,0.006739251,5.387906289,0.288290177,0.17746694,2.617075764,0.139527454,2.110134336,0.002246417,0.408598286
09_sh,shotgun,12.85436,1.67228,0.02222,1.12132,11.5925,27.85293,2.62784,0,0.87064,12.39365,0,0,0,8.78528,1.83648,0,0.22847,0,0,0,0.67753,2.09246,0,3.8909,0.27551,3.06262,0,1.51171
10_16S,16S-amplicon,16.58135248,2.071075547,0.65799796,13.56495646,0.035302424,0.128461599,1.324821527,0.065211422,2.618263121,0.003922492,0,3.524358673,4.83250961,0.615340865,0.002941869,0.357927355,6.642739468,0.01029654,0.001961246,0.473150545,0.876676865,0.136796893,1.683239194,0.011767475,0.15935122,0.121106927,0.105416961,0.005393426
10_sh,shotgun,13.73486,3.58805,0,37.65764,0,0,0.41232,0,9.55473,0,0,7.24884,12.30695,0.80783,0,0,4.33554,0,0,3.14622,0,0.66423,0.91757,0,0.27577,0,0,0
12_16S,16S-amplicon,22.87786537,26.51825979,34.43621734,0.113637723,0.171054678,0.02791102,1.764375172,0.007575848,0.026714833,0.005582204,0,0.001196187,0.415076735,0.013158052,0.000797458,0.006379662,0.349685204,0,0,1.411101409,7.234536298,0.01036695,0.076954669,0.037081783,0.287483503,0.088119076,0.042265258,0.06260043
12_sh,shotgun,5.49139,10.55583,75.92072,0,0.00443,0,0.18418,0,0,0,0,0,0.11071,0,0,0,0,0,0,2.64955,4.59434,0,0,0,0.16479,0,0,0
13_16S,16S-amplicon,36.09764719,0.027314649,0.109794176,2.375838854,1.906669595,0.010711627,18.03302395,0.40971973,0.002677907,1.597103576,0.187453471,0,1.153642221,0.012853952,0,0.013925115,0.144606964,0,0,0.001071163,0.114614408,0.041775345,0.91852201,0,1.225945703,0.000535581,0.003213488,0.003749069
13_sh,shotgun,82.5775,0,0,2.52959,1.4193,0,6.69668,0,0,2.29825,0.04504,0,0.57294,0,0,0,0.03005,0,0,0,0,0,0.09101,0,0.75362,0,0,0
14_16S,16S-amplicon,15.61858383,0.137288642,2.971098586,0.415867612,6.922918276,0.008311196,5.618060536,2.787944457,0,0.244102899,4.054324438,0,0.396782644,0.887451018,0.043710733,0.112970698,0.394627889,0,0,0.022471011,0.113586343,0,4.929154751,0.011081594,0.436799512,0.000923466,0,0.004001687
14_sh,shotgun,26.66667,0.03108,0.80969,0.97477,14.72633,0,8.9913,18.90918,0,1.79209,15.14193,0,0,1.74676,0,0,0,0,0,0,0,0,2.9225,0,2.03198,0,0,0